Fecha;Ozono
2018-01-01;53,9507
2018-01-02;42,4817
2018-01-03;55,7583
2018-01-04;65,0944
2018-01-05;45,3043
2018-01-06;51,4828
2018-01-07;65,6057
2018-01-08;71,0972
2018-01-09;26,7
2018-01-10;63,5219
2018-01-11;54,5186
2018-01-12;52,8377
2018-01-13;55,1833
2018-01-14;53,264
2018-01-15;43,8793
2018-01-16;42,639
2018-01-17;36,5294
2018-01-18;49,4901
2018-01-19;50,8469
2018-01-20;51,7481
2018-01-21;44,1544
2018-01-22;44,1417
2018-01-23;51,8036
2018-01-24;43,4768
2018-01-25;53,9472
2018-01-26;51,9105
2018-01-27;48,849
2018-01-28;45,8961
2018-01-29;54,2944
2018-01-30;45,8428
2018-01-31;44,9294
2018-02-01;42,1536
2018-02-02;52,3461
2018-02-03;37,3575
2018-02-04;55,675
2018-02-05;88,705
2018-02-06;85,3497
2018-02-07;86,6639
2018-02-08;79,5762
2018-02-09;76,0514
2018-02-10;81,1718
2018-02-11;41,8844
2018-02-12;57,9
2018-02-13;87,3471
2018-02-14;66,1244
2018-02-15;82,531
2018-02-16;92,6343
2018-02-17;66,5836
2018-02-18;53,1622
2018-02-19;89,7347
2018-02-20;67,1
2018-02-21;88,1
2018-02-22;65,5
2018-02-23;76,5004
2018-02-24;62,1
2018-02-25;63,7194
2018-02-26;64,1907
2018-02-27;74,2847
2018-02-28;83,7328
2018-03-01;84,2307
2018-03-02;50,2
2018-03-03;90,2
2018-03-04;63,9922
2018-03-05;64,7
2018-03-06;52,0
2018-03-07;43,6
2018-03-08;35,2
2018-03-09;65,7
2018-03-10;56,5
2018-03-11;40,6
2018-03-12;64,0
2018-03-13;87,2
2018-03-14;57,8
2018-03-15;38,4
2018-03-16;59,4
2018-03-17;74,7
2018-03-18;62,0
2018-03-19;77,5
2018-03-20;40,4033
2018-03-21;82,7
2018-03-22;33,7
2018-03-23;65,1874
2018-03-24;78,4164
2018-03-25;68,3
2018-03-26;69,7
2018-03-27;82,0
2018-03-28;65,0
2018-03-29;51,4222
2018-03-30;45,9283
2018-03-31;80,6018
2018-04-01;57,9911
2018-04-02;41,4749
2018-04-03;85,1056
2018-04-04;76,1246
2018-04-05;66,7756
2018-04-06;44,2121
2018-04-07;67,9915
2018-04-08;60,3576
2018-04-09;77,1579
2018-04-10;40,0
2018-04-11;41,4
2018-04-12;31,6
2018-04-13;66,9194
2018-04-14;44,3
2018-04-15;73,4039
2018-04-16;37,6818
2018-04-17;36,7513
2018-04-18;72,0851
2018-04-19;38,0379
2018-04-20;39,7689
2018-04-21;60,8944
2018-04-22;51,3636
2018-04-23;63,585
2018-04-24;58,5982
2018-04-25;62,7373
2018-04-26;77,8861
2018-04-27;56,5275
2018-04-28;59,6
2018-04-29;50,2715
2018-04-30;61,6261
2018-05-01;61,304
2018-05-02;76,3
2018-05-03;76,6896
2018-05-04;47,8851
2018-05-05;37,9149
2018-05-06;50,8128
2018-05-07;66,6243
2018-05-08;64,2493
2018-05-09;54,5719
2018-05-10;68,0777
2018-05-11;54,5061
2018-05-12;57,4404
2018-05-13;51,4
2018-05-14;39,7909
2018-05-15;70,8
2018-05-16;60,6
2018-05-17;77,9104
2018-05-18;66,3667
2018-05-19;54,1992
2018-05-20;51,886
2018-05-21;31,2197
2018-05-22;66,2478
2018-05-23;42,8351
2018-05-24;84,6965
2018-05-25;63,1636
2018-05-26;21,5
2018-05-27;49,7039
2018-05-28;43,8
2018-05-29;57,3018
2018-05-30;51,2985
2018-05-31;66,6592
2018-06-01;41,8026
2018-06-02;66,6351
2018-06-03;47,5
2018-06-04;34,121
2018-06-05;50,6
2018-06-06;49,1096
2018-06-07;36,48
2018-06-08;56,7161
2018-06-09;42,8649
2018-06-10;39,6428
2018-06-11;34,5
2018-06-12;70,7503
2018-06-13;69,5912
2018-06-14;54,8137
2018-06-15;53,5107
2018-06-16;41,5847
2018-06-17;34,5586
2018-06-18;70,5
2018-06-19;53,6
2018-06-20;49,7
2018-06-21;50,7521
2018-06-22;65,7251
2018-06-23;68,5118
2018-06-24;45,5
2018-06-25;35,2651
2018-06-26;42,6999
2018-06-27;53,2583
2018-06-28;57,7524
2018-06-29;44,8411
2018-06-30;53,5708
2018-07-01;60,429
2018-07-02;52,0
2018-07-03;61,2743
2018-07-04;43,7693
2018-07-05;40,9014
2018-07-06;46,2221
2018-07-07;67,5589
2018-07-08;45,8633
2018-07-09;58,9785
2018-07-10;44,5299
2018-07-11;59,5676
2018-07-12;36,8
2018-07-13;71,1796
2018-07-14;29,7876
2018-07-15;32,9728
2018-07-16;34,0093
2018-07-17;42,578
2018-07-18;39,609
2018-07-19;40,77
2018-07-20;36,8994
2018-07-21;51,6206
2018-07-22;43,6536
2018-07-23;56,3369
2018-07-24;58,4075
2018-07-25;31,0
2018-07-26;52,6165
2018-07-27;40,5844
2018-07-28;57,2139
2018-07-29;43,4414
2018-07-30;46,9521
2018-07-31;26,0849
2018-08-01;78,1
2018-08-02;42,7337
